brand,product_name,currency,prices,category,model_number,seller,rating,rating_count,delivery,partner_ratings,partner_rating_count,SKU,FBN,URL
Athlete Home,Leather Gym Sand Bag 90cm,EGP,700.00,Exercise & Fitness,25042,Athlete Home,,,"Mon, 13 March - Tue, 14 March.",3.7,,N52997045A,express,https://www.noon.com/egypt-en/leather-gym-sand-bag-90cm/N52997045A/p/?o=a0558facc005af6d%22
Athlete Home,Fabric Sand Bag 150cm,EGP,1000.00,Exercise & Fitness,22813,Athlete Home,,,"Tue, 14 March - Wed, 15 March.",3.6,,N52997048A,express,https://www.noon.com/egypt-en/fabric-sand-bag-150cm/N52997048A/p/?o=d804a11d7730112c%22
Athlete Home,Red Floor Sand Bag 180cm,EGP,2750.00,Exercise & Fitness,25045,Athlete Home,,,"Sat, 11 March - Tue, 14 March.",3.7,,N52997096A,express,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e%22
Athlete Home,Floor Sand Bag,EGP,2500.00,Exercise & Fitness,5929-1,Athlete Home,,,"Tue, 14 March - Wed, 15 March.",3.6,,N51237135A,express,https://www.noon.com/egypt-en/floor-sand-bag/N51237135A/p/?o=b69933347c3bd79d%22
Athlete Home,Heat Yoga Ball With Blower 65centimeter,EGP,253.05,Exercise & Fitness,4914,Athlete Home,,,"Fri, 10 March - Sat, 11 March.",3.6,,N38132274A,express,https://www.noon.com/egypt-en/heat-yoga-ball-with-blower-65centimeter/N38132274A/p/?o=f7e25f0ea96619fc%22
BODY SCULPTURE,Yoga Exercise Mat Bb-8300D Pvc ‎62 x 14 x 12cm,EGP,610.00,Exercise & Fitness,BB-8300D,noon,,,"Fri, 10 March.",4.3,,N52252532A,express,https://www.noon.com/egypt-en/yoga-exercise-mat-bb-8300d-pvc-62-x-14-x-12cm/N52252532A/p/?o=fd525e84e5c03cac%22
Spurt,18D-141 Yoga Roller Black 30cm,EGP,305.00,Exercise & Fitness,2025515978,noon,,,"Fri, 10 March - Sat, 11 March.",4.3,,N46040262A,express,https://www.noon.com/egypt-en/18d-141-yoga-roller-black-30cm/N46040262A/p/?o=a93fdaea4d59cf9f%22
BODY SCULPTURE,"Yoga Mat, Made From High Quality Eva Foam Rubber, 173x61cm",EGP,529.00,Exercise & Fitness,715280699690,noon,,,"Fri, 10 March.",4.3,,N52977832A,express,https://www.noon.com/egypt-en/yoga-mat-made-from-high-quality-eva-foam-rubber-173x61cm/N52977832A/p/?o=cedc1a81e20f31ee%22
Sports,"Exercise Rolling Wheel With Yoga Mat, 4 Wheels 110g",EGP,269.00,Exercise & Fitness,5606107240,AL Hayat,,,"Fri, 10 March - Sat, 11 March.",3.1,,N44723852A,express,https://www.noon.com/egypt-en/exercise-rolling-wheel-with-yoga-mat-4-wheels-110g/N44723852A/p/?o=fba2b39df39aa50b%22
Athlete Home,Yoga Ball 2021 55cm,EGP,195.00,Exercise & Fitness,6316-70,Athlete Home,,,Two Days Delivery.,3.7,,N51237366A,express,https://www.noon.com/egypt-en/yoga-ball-2021-55cm/N51237366A/p/?o=f1eac5b35d4d5bab%22
